V_COD_ESTA,V_COD_ANESTA,V_NOM_ESTA,D_FEC_INI,D_FEC_FIN,N_PORCENTAJE,N_NRO_DIA,V_NOM_DRE,V_COD_TIPO,V_COD_CATE,V_DESC_CATE,V_DESL_CATE,V_COD_SIHI,V_NOM_SIHI,V_COD_CUEN,V_NOM_CUEN,V_COD_SECTOR,N_ALT_MTS,N_LON_SIG,N_LAT_SIG,V_COD_COND,PER_INI,PER_FIN
215000,205206,CANAL UCHUSUMA,01/01/2005,31/03/2023,35,"2,360",DIRECCION ZONAL DE TACNA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,50,CAPLINA,,"4,260",-70,-18,F,2005-01,2023-03
270900,211706,CHUAPALCA,01/09/1963,30/04/2021,36,"7,537",DIRECCION ZONAL DE TACNA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,7,TITICACA,09,MAURE,,"4,180",-70,-17,C,1963-09,2021-04
106126,153118,BATAN,01/01/2006,01/06/2008,93,823,DIRECCION ZONAL DE LAMBAYEQUE,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,08,SAÑA,0001,213,-79,-7,C,2006-01,2008-06
4724D566,4721C1D0,CIRATO,16/11/2004,11/05/2023,83,"5,607",DIRECCION ZONAL DE LAMBAYEQUE,H,22,EHMA,HIDROMETEOROLOGICA AUTOMATICA,1,PACIFICO,07,CHANCAY - LAMBAYEQUE,,959,-79,-7,F,2004-11,2023-05
112196,PLC00220,LURIN,,,,,DIRECCION ZONAL DE LIMA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,59,-77,-12,F,,
113189,RTU50019,EL OASIS,,,,,DIRECCION ZONAL DE ICA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,225,-76,-14,C,,
113187,RTU50016,SAN VICENTE,,,,,DIRECCION ZONAL DE ICA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,750,-76,-14,C,,
113188,RTU50018,AUQUIX,,,,,DIRECCION ZONAL DE ICA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,550,-76,-14,F,,
113190,PS3,SHIKINTIRCA IMG1,,,,,DIRECCION ZONAL DE JUNIN,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"2,961",-74,-13,C,,
113191,PRS3,LOBERIAS,,,,,DIRECCION ZONAL DE ICA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,19,-76,-14,F,,
113192,RTU13133,SHIKINTIRCA IMG2,,,,,DIRECCION ZONAL DE JUNIN,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"2,961",-74,-13,C,,
113194,,PISCO,,,,,DIRECCION ZONAL DE ICA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,35,ICA,,4,-76,-14,C,,
472C57D4,472C57D4,BAGUA,31/12/2000,11/05/2023,86,"6,991",DIRECCION ZONAL DE LAMBAYEQUE,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,2,MARAÑON,09,UTCUBAMBA,0012,400,-79,-6,F,2000-12,2023-05
117055,,MOQUEGUAN,,,,,DIRECCION ZONAL DE TACNA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,47,ILO - MOQUEGUA,,"1,274",-71,-17,C,,
